Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Saturday 1 January 2022,00:00,Clear,5°,7,93%,1030 hPa
Saturday 1 January 2022,00:30,Clear,5°,4,93%,1030 hPa
Saturday 1 January 2022,01:00,Clear,3°,4,100%,1029 hPa
Saturday 1 January 2022,01:30,Clear,3°,4,100%,1030 hPa
Saturday 1 January 2022,02:00,Clear,3°,4,93%,1030 hPa
Saturday 1 January 2022,02:30,Clear,3°,4,100%,1029 hPa
Saturday 1 January 2022,03:00,Clear,3°,6,93%,1029 hPa
Saturday 1 January 2022,03:30,Clear,2°,6,100%,1029 hPa
Saturday 1 January 2022,04:00,Clear,1°,2,100%,1030 hPa
Saturday 1 January 2022,04:30,Clear,2°,4,93%,1030 hPa
Saturday 1 January 2022,05:00,Clear,1°,4,93%,1029 hPa
Saturday 1 January 2022,05:30,Fog Patches,1°,4,93%,1029 hPa
Saturday 1 January 2022,06:00,Clear,1°,6,100%,1029 hPa
Saturday 1 January 2022,06:30,Clear,1°,4,93%,1029 hPa
Saturday 1 January 2022,07:00,Clear,0°,4,93%,1029 hPa
Saturday 1 January 2022,07:30,Clear,0°,4,100%,1029 hPa
Saturday 1 January 2022,08:00,Clear,0°,6,100%,1030 hPa
Saturday 1 January 2022,08:30,Clear,0°,6,100%,1030 hPa
Saturday 1 January 2022,09:00,Clear,0°,4,100%,1030 hPa
Saturday 1 January 2022,09:30,Clear,1°,2,93%,1030 hPa
Saturday 1 January 2022,10:00,Clear,3°,2,87%,1030 hPa
Saturday 1 January 2022,10:30,Clear,4°,6,87%,1030 hPa
Saturday 1 January 2022,11:00,Clear,6°,6,75%,1030 hPa
Saturday 1 January 2022,11:30,Clear,7°,4,76%,1030 hPa
Saturday 1 January 2022,12:00,Clear,9°,2,66%,1030 hPa
Saturday 1 January 2022,12:30,Clear,11°,2,62%,1030 hPa
Saturday 1 January 2022,13:00,Clear,12°,2,67%,1030 hPa
Saturday 1 January 2022,13:30,Clear,13°,2,62%,1029 hPa
Saturday 1 January 2022,14:00,Clear,15°,2,59%,1029 hPa
Saturday 1 January 2022,14:30,Clear,15°,4,51%,1028 hPa
Saturday 1 January 2022,15:00,Clear,16°,2,51%,1028 hPa
Saturday 1 January 2022,15:30,Clear,18°,Calm,37%,1028 hPa
Saturday 1 January 2022,16:00,Clear,17°,Calm,39%,1028 hPa
Saturday 1 January 2022,16:30,Clear,18°,Calm,49%,1028 hPa
Saturday 1 January 2022,17:00,Clear,16°,2,51%,1028 hPa
Saturday 1 January 2022,17:30,Clear,14°,4,51%,1028 hPa
Saturday 1 January 2022,18:00,Clear,13°,6,54%,1028 hPa
Saturday 1 January 2022,18:30,Clear,11°,2,62%,1028 hPa
Saturday 1 January 2022,19:00,Clear,10°,Calm,66%,1028 hPa
Saturday 1 January 2022,19:30,Clear,9°,Calm,71%,1028 hPa
Saturday 1 January 2022,20:00,Clear,8°,6,71%,1029 hPa
Saturday 1 January 2022,20:30,Clear,8°,6,71%,1029 hPa
Saturday 1 January 2022,21:00,Clear,7°,4,76%,1029 hPa
Saturday 1 January 2022,21:30,Clear,6°,7,81%,1029 hPa
Saturday 1 January 2022,22:00,Clear,6°,7,81%,1029 hPa
Saturday 1 January 2022,22:30,Clear,6°,7,75%,1029 hPa
Saturday 1 January 2022,23:00,Clear,6°,6,75%,1029 hPa
Saturday 1 January 2022,23:30,Clear,5°,6,81%,1029 hPa
Sunday 2 January 2022,00:00,Clear,4°,4,87%,1029 hPa
Sunday 2 January 2022,00:30,Clear,4°,4,87%,1030 hPa
Sunday 2 January 2022,01:00,Clear,3°,2,93%,1029 hPa
Sunday 2 January 2022,01:30,Clear,3°,6,93%,1029 hPa
Sunday 2 January 2022,02:00,Clear,3°,6,93%,1029 hPa
Sunday 2 January 2022,02:30,Clear,2°,4,93%,1029 hPa
Sunday 2 January 2022,03:00,Clear,2°,6,93%,1029 hPa
Sunday 2 January 2022,03:30,Clear,2°,4,93%,1029 hPa
Sunday 2 January 2022,04:00,Clear,1°,4,93%,1029 hPa
Sunday 2 January 2022,04:30,Clear,2°,6,93%,1029 hPa
Sunday 2 January 2022,05:00,Clear,1°,2,93%,1029 hPa
Sunday 2 January 2022,05:30,Clear,2°,6,93%,1029 hPa
Sunday 2 January 2022,06:00,Clear,1°,6,93%,1029 hPa
Sunday 2 January 2022,06:30,Clear,1°,4,93%,1029 hPa
Sunday 2 January 2022,07:00,Clear,1°,6,93%,1030 hPa
Sunday 2 January 2022,07:30,Clear,1°,Calm,93%,1030 hPa
Sunday 2 January 2022,08:00,Clear,0°,6,93%,1030 hPa
Sunday 2 January 2022,08:30,Clear,0°,4,93%,1030 hPa
Sunday 2 January 2022,09:00,Clear,1°,4,93%,1030 hPa
Sunday 2 January 2022,09:30,Clear,2°,2,93%,1031 hPa
Sunday 2 January 2022,10:00,Clear,2°,4,93%,1031 hPa
Sunday 2 January 2022,10:30,Clear,4°,2,81%,1031 hPa
Sunday 2 January 2022,11:00,Clear,6°,4,75%,1031 hPa
Sunday 2 January 2022,11:30,Clear,7°,6,76%,1031 hPa
Sunday 2 January 2022,12:00,Clear,9°,6,71%,1031 hPa
Sunday 2 January 2022,12:30,Clear,9°,2,66%,1031 hPa
Sunday 2 January 2022,13:00,Clear,10°,4,66%,1031 hPa
Sunday 2 January 2022,13:30,Clear,11°,2,62%,1030 hPa
Sunday 2 January 2022,14:00,Clear,12°,2,58%,1030 hPa
Sunday 2 January 2022,14:30,Clear,12°,2,62%,1029 hPa
Sunday 2 January 2022,15:00,Clear,14°,2,55%,1029 hPa
Sunday 2 January 2022,15:30,Clear,14°,Calm,55%,1029 hPa
Sunday 2 January 2022,16:00,Clear,15°,2,55%,1029 hPa
Sunday 2 January 2022,16:30,Clear,15°,2,55%,1029 hPa
Sunday 2 January 2022,17:00,Clear,14°,7,58%,1028 hPa
Sunday 2 January 2022,17:30,Clear,13°,4,67%,1029 hPa
Sunday 2 January 2022,18:00,Clear,10°,4,82%,1029 hPa
Sunday 2 January 2022,18:30,Clear,10°,Calm,76%,1029 hPa
Sunday 2 January 2022,19:00,Clear,8°,4,87%,1029 hPa
Sunday 2 January 2022,19:30,Clear,9°,2,81%,1029 hPa
Sunday 2 January 2022,20:00,Clear,8°,4,87%,1029 hPa
Sunday 2 January 2022,20:30,Clear,8°,7,81%,1029 hPa
Sunday 2 January 2022,21:00,Clear,6°,6,87%,1029 hPa
Sunday 2 January 2022,21:30,Clear,6°,4,87%,1030 hPa
Sunday 2 January 2022,22:00,Clear,6°,7,87%,1030 hPa
Sunday 2 January 2022,22:30,Clear,5°,2,93%,1029 hPa
Sunday 2 January 2022,23:00,Clear,5°,4,87%,1030 hPa
Sunday 2 January 2022,23:30,Clear,5°,7,93%,1030 hPa
Monday 3 January 2022,00:00,Clear,4°,6,93%,1030 hPa
Monday 3 January 2022,00:30,Clear,4°,7,93%,1029 hPa
Monday 3 January 2022,01:00,Clear,4°,6,93%,1029 hPa
Monday 3 January 2022,01:30,Clear,4°,6,93%,1029 hPa
Monday 3 January 2022,02:00,Clear,4°,2,93%,1029 hPa
Monday 3 January 2022,02:30,Clear,3°,4,93%,1029 hPa
Monday 3 January 2022,03:00,Clear,3°,4,93%,1029 hPa
Monday 3 January 2022,03:30,Clear,3°,4,93%,1028 hPa
Monday 3 January 2022,04:00,Clear,3°,4,93%,1028 hPa
Monday 3 January 2022,04:30,Clear,3°,6,93%,1028 hPa
Monday 3 January 2022,05:00,Clear,3°,4,93%,1028 hPa
Monday 3 January 2022,05:30,Clear,2°,6,100%,1028 hPa
Monday 3 January 2022,06:00,Fair,2°,6,93%,1028 hPa
Monday 3 January 2022,06:30,Fair,2°,6,93%,1028 hPa
Monday 3 January 2022,07:00,Fair,1°,Calm,100%,1028 hPa
Monday 3 January 2022,07:30,Clear,2°,4,93%,1028 hPa
Monday 3 January 2022,08:00,Clear,2°,4,93%,1028 hPa
Monday 3 January 2022,08:30,Fog Patches,2°,4,93%,1027 hPa
Monday 3 January 2022,09:00,Fog Patches,2°,4,93%,1028 hPa
Monday 3 January 2022,09:30,Fog Patches,2°,2,100%,1027 hPa
Monday 3 January 2022,10:00,Clear,3°,4,93%,1028 hPa
Monday 3 January 2022,10:30,Clear,4°,2,93%,1028 hPa
Monday 3 January 2022,11:00,Clear,5°,4,87%,1028 hPa
Monday 3 January 2022,11:30,Clear,6°,2,87%,1028 hPa
Monday 3 January 2022,12:00,Clear,8°,2,81%,1028 hPa
Monday 3 January 2022,12:30,Clear,9°,4,76%,1027 hPa
Monday 3 January 2022,13:00,Clear,11°,2,71%,1027 hPa
Monday 3 January 2022,13:30,Clear,12°,2,67%,1026 hPa
Monday 3 January 2022,14:00,Clear,13°,2,62%,1026 hPa
Monday 3 January 2022,14:30,Clear,13°,4,67%,1025 hPa
Monday 3 January 2022,15:00,Clear,14°,6,63%,1025 hPa
Monday 3 January 2022,15:30,Clear,14°,4,67%,1025 hPa
Monday 3 January 2022,16:00,Clear,14°,9,67%,1024 hPa
Monday 3 January 2022,16:30,Clear,14°,9,67%,1024 hPa
