iter	Passed	Remaining
398	107815	27291
399	108085	27021
400	108332	26745
401	108587	26471
402	108824	26193
403	109078	25919
404	109323	25643
405	109587	25372
406	109834	25097
407	110085	24823
408	110338	24549
409	110613	24281
410	110873	24009
411	111158	23742
412	111412	23469
413	111671	23197
414	111958	22931
415	112243	22664
416	112571	22406
417	112869	22141
418	113156	21875
419	113440	21607
420	113716	21338
421	114019	21074
422	114339	20813
423	114580	20537
424	114835	20265
425	115128	19998
426	115400	19728
427	115674	19459
428	115943	19188
429	116286	18930
430	116516	18653
431	116816	18387
432	117106	18120
433	117394	17852
434	117691	17586
435	118074	17331
436	118428	17073
437	118755	16810
438	119035	16540
439	119336	16273
440	119620	16003
441	119907	15734
442	120206	15466
443	120490	15196
444	120762	14925
445	121047	14655
446	121322	14385
447	121655	14120
448	121923	13848
449	122221	13580
450	122506	13309
451	122774	13038
452	123031	12764
453	123290	12491
454	123559	12220
455	123827	11948
456	124125	11679
457	124389	11406
458	124714	11140
459	124970	10867
460	125276	10598
461	125571	10328
462	125850	10057
463	126139	9786
464	126424	9515
465	126735	9246
466	126992	8973
467	127275	8702
468	127593	8433
469	127875	8162
470	128196	7893
471	128438	7619
472	128681	7345
473	128922	7071
474	129210	6800
475	129508	6529
476	129806	6258
477	130113	5988
478	130403	5717
479	130670	5444
480	130936	5172
481	131261	4901
482	131547	4630
483	131852	4358
484	132224	4089
485	132501	3816
486	132795	3544
487	133100	3272
488	133365	3000
489	133646	2727
490	133922	2454
491	134235	2182
492	134572	1910
493	134907	1638
494	135239	1366
495	135542	1093
496	135828	819
497	136154	546
498	136507	273
499	136771	0
