iter	RMSE
349	32.33536693
350	32.3343426
351	32.33382824
352	32.33081585
353	32.32968979
354	32.32819396
355	32.32356451
356	32.32256562
357	32.32227142
358	32.32134642
359	32.31353044
360	32.31126359
361	32.30800183
362	32.3042655
363	32.3034047
364	32.30118555
365	32.29935581
366	32.2983839
367	32.29790545
368	32.29705203
369	32.29473281
370	32.29003485
371	32.28822016
372	32.28785155
373	32.28721543
374	32.28627525
375	32.28484939
376	32.28200422
377	32.28184674
378	32.27877522
379	32.27634669
380	32.27575048
381	32.27359169
382	32.27147325
383	32.26897977
384	32.26686581
385	32.26620066
386	32.26432288
387	32.26353265
388	32.26318341
389	32.26197248
390	32.2578655
391	32.25410781
392	32.25302004
393	32.246621
394	32.24441045
395	32.24386808
396	32.24130461
397	32.23743868
398	32.23542663
399	32.22873312
400	32.22317162
401	32.22208182
402	32.22100936
403	32.21988645
404	32.2189027
405	32.21631975
406	32.21516071
407	32.21151104
408	32.20937216
409	32.20657714
410	32.20278505
411	32.20219285
412	32.20068239
413	32.19912092
414	32.19784571
415	32.197326
416	32.19255558
417	32.19167256
418	32.18847473
419	32.18680546
420	32.18367309
421	32.18305357
422	32.18105307
423	32.17993533
424	32.17901888
425	32.17796997
426	32.17386186
427	32.17206103
428	32.16718283
429	32.1663861
430	32.16577941
431	32.1651123
432	32.16434292
433	32.16272007
434	32.16219611
435	32.15794533
436	32.15602632
437	32.15549222
438	32.15178352
439	32.15024625
440	32.14916286
441	32.14749053
442	32.14613933
443	32.14512774
444	32.14450899
445	32.14433716
446	32.1431911
447	32.14113389
448	32.1389929
449	32.13705482
450	32.13531832
451	32.1336578
452	32.13336171
453	32.13017585
454	32.12604617
455	32.12140804
456	32.12022174
457	32.11896913
458	32.11693242
459	32.11638196
460	32.1161713
461	32.11496064
462	32.11435741
463	32.11062864
464	32.11032981
465	32.10966459
466	32.10822547
467	32.10665335
468	32.10519869
469	32.10273118
470	32.10044817
471	32.09985272
472	32.0993898
473	32.09651309
474	32.0962573
475	32.09601328
476	32.09538518
477	32.09443222
478	32.0933983
479	32.09280532
480	32.09129522
481	32.09090314
482	32.09029011
483	32.08769097
484	32.08645853
485	32.08609081
486	32.08566803
487	32.08391836
488	32.07939635
489	32.07915244
490	32.0786245
491	32.07557329
492	32.07347974
493	32.07303516
494	32.07201901
495	32.07072631
496	32.06940081
497	32.06719535
498	32.06629194
499	32.06504421
